rani.rahmani,"@satusehat_id min, ak mau cetak sertifikat tp no wa sudah hangus, dan emailnya lupa, kira2 solusinya bgmn?"
adeputrahf,Tolong dong sertifikat vaksin belum muncul di aplikasi satu sehat semakin hari semakin jelek ini aplikasi
knight.slytherin99,"Min baca pesan sy,sy sdh ngirim data yg dibutuhkan koq cm diliat aja?? @satusehat_id"
riesa_achiansyah,"Hallo kak mohon di bntu,kmrin senin ibu saya vaksin indovac di puskesmas menur sby tetapi sampai saat ini sertifikatnya belum keluar di aplikasi 1 sehat?"
p_romauli_harianja,Cek dm
teooo11_,Pakkk /ibu cek DM saya urgen penting 🙏🙏🙏🙏
najkzl34_,Cek DM min @satusehat_id
dewii140884,@satusehat_id tlg dong respon DM nya dipercepat
dewii140884,@satusehat_id min respon dm
pejuangrinjani,"bisa gak ya kl minta tiket gak perlu swafoto, sudh kaya mw bikin rekening bank segala,"
secxean_,"Cek dm min ,urgent sekali"
driches_cakecookies,"Kenapa sih yg vaksin 1 dan 2 nya moderna , pas vaksin booster nya di persulit sertifikat vaksin nya"
raizyoktavia,"WA itu gak pernah dibalas, ig jga gak aktuf"
inawati3175,Min tiket sy kok belum muncul2 ya..pdhl boosternya tgl 25 mei 2023..
__amelrhm,Cek DM lah min astagfirullah
username,komentar
satusehat_id,"Apabila Healthies mengalami kendala, mohon DM mimin ya 🙏"
linggommarpaung,"Admiiin yang baik. Tolong DM saya dicheck, ya. Udah capek banget nih ngusahain biar data vaksin saya dibetulin lagi, soalnya sebelumnya udah dibetulin, masa pas migrasi ke Satu Sehat malah salah lagi. Ini bukan masalah kendala buka aplikasi kok, tapi data yang salah. Kalo admin gk bisa bantu nangani masalah teknis jalannya aplikasi, kami bisa paham, karna itu tugas developer appnya. Tapi kalo masalah data vaksin, admin pasti bisa lah."
delipp_,"Di aplikasi kan bisa check in bersama, itu kalo di bandara bisa kan yaa pake check in bersama? Takut hp mamah aku low 🙃🙃"
wa_onehariyanto,Cara merubah tanggal lahir yg salah di sertifikat vaksin gimana min?
silvia.ningsih.98,"Sertifikat booster 2 sy blm ada , hrs tunggu berapa lama ya ?? Krn yg lain vaksin sama² sdh ada sertifikat nya"
eyanguti_ety,Akun jd berubah akunt anak .kok bisa y min
dion_ankker,"Min saya vansin booster pertama di dlm negeri, lalu yg ke dua di luar negeri. Bagaimna cara menambahkan sertifikat booster yg ke dua di aplikasi. Terimakasih🙏"
putrii_wijaya12,"Solusi login untuk akun saya yang nomernya udah ga aktif dan lupa e-mail login dong min. Saya g kerja"" ini grgr syarat ketentuannya wajib melampirkan Sertifikat Vaksin. padahal udah vaksin Sinovac dosis-2"
rithapoespitasari,Minn maaf saya sudah vaksin kemarin kenapa sertifikatnya belum keluar ya min 😢😢😢😢
milana.lau,"Mau nambahin, tapi yg sertifikat sendiri aja masih salah datanya dan ga kunjung direspon untuk perbaikan 😂"
iniyaanti,"Akun saya kenapa semenjak update gak bisa login ya, akun tidak ditemukan, pas buat akun, akun telah tersedia 😢... Tolong dibantu"
hanny_oetomo,Apilkasi tdk bs dibuka
ferry_jepe,Harusnya log in jgn pake no hp... tp pake NIK biar nomornya ga berubah ubah
agussalman24,Pergantian nomer handphone aja lama banget antriannya ...Udeh berbulan2 ga bisa aktif juga .. kalah sama aplikasi pemerintah yang Laen....dari peduli lindungi sampe ganti satu sehat....masa iya ganti nomer handphone aja sebegitu susahnya @satusehat_id
chicaasuryani,"min saya mau ubah tahun lahir ibu saya di sertifikat vaksin salah 3 sertifikat salah semua di wa cs blm.bisa membantu anda cape bgt tiap hari chat cs WA,email pun gak di bales "" @satusehat_id"
endang_kwok,Bagaimana cara nya meng up sertifikat booster vaksin luar negri ke satu sehat app? Tolong di mudahkan
fbryanryan,Min saya vaksin ke 2 udh hampir 1minggu tp kok blm muncul hasil nya ya mohon bantuannya
novhamaharanie_nm,"Kartu Imunisasi anak di aplikasi Satu Sehat kok malah jd gk muncul sich itu sertifikat Imunisasi anak saya jd gk ada,gimana nich❓️‼️❓️pdahal sblumnya di aplikasi peduli lindungi muncul. Bahkan di menu vaksin & imunisasi tdk ada menu imunisasi anak😵@satusehat_id"
lidya_tiatira,Sudah min dan berhasil
meiliadina,"Min,saya mau ubah tanggal tahun lahir di sertifikat vaksin salah 4 sertifikat salah semua ,saya udah chat WA tapi tdk ada balasannya,gimana nih solusinya...."
rintisayu_27,Keluhan rakyat gak di tanggepin... Benerin tuh aplikasi baru gak jelas bgt udah vaksin sertifikat gak keluar2 padahal bnr2 sangat dibtuhkan.. transformasi apk baru harusnya lebih baik malah ini kebalikannya..
azmi_123787,"Admin yang baik tolong DM saya, saya pusing banget krna masalah ini ,jadi saya waktu itu buat KTP pas itu tukang potonya salah masukin data, yang seharunya data saya malah masukin nya data org lain ,dan otomatis data tersebut tdk bisa di ubah lagi jadi otomatis saya ganti no nik yang baru ini. Krna pas vaksin saya pakai nik lama sekarang nik saya udh ganti min tolong dong admin yang baik tolong bantu saya plis banget soalnya saya butuh banget buat kerja saya pusing ga tau cara benerin ya 🙏🙏🙏🙏🙏🙏 tolong banget bantu saya 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
uwaisal702,Udah berapa kali aku coba ttp Tidak bisa masuk
irsyadrasyid7,"@satusehat_id Saya ingin memperbaiki kesalahan Nama pada Sertifikat Vaksin, sudah saya hubungi via WhatsApp dan Email tapi tidak ada respon, mohon bantuannya🙏🏻"
lieke_kairupan,Aplikasi sy ga bisa dibuka. Tlg ya. Mksh 🙏🏻
liananuryantii,"makin anehhhhhhhhhh!!!!!! vaksin di suruh suruh smoe vaksin ke4, tp SERTIFIKAT BELUM MUNCUL JUGA, INI UDAH SEMINGGU LOH , blng pake di cari datanya dlu, jelas2 vaksin kan udh pake ktp. kayanya dlu gak begini deh! sertifikat langsung muncul dan lngsung di print di tempat !!!!"
flaneurr.k,ppp @satusehat_id @kemenkes_ri ini gimana NIK tidak terdaftar padahal uda di cek ke dukcapil udah bener loh! Mau cek sertifikat vaksin punya ibuk gabisa
andreasharyadi_tjen,"Nomor chatbot whatsapp yang disediakan sepertinya hanya sebagai pajangan. Dari tanggal 02 maret 2023 sampai detik ini saya tidak pernah tersambung dengan customer service. Hubungi ke nomor 119 juga sama, selalu customer service kami sedang melayani pelanggan lain, silahkan menunggu. Sampai kapan menunggunya? Susah sekali untuk menyesuaikan data dengan KTP. Kesannya seperti dipersulit."
zarringhiffari,"Sertifikat vaksin saya belum bisa di download sampai detik ini WhatsApp sudah saya chat tidak ada respon, DM di akun ini juga sudah gak ada respon, Kirim email harus di suruh nunggu tidak ada kejelasan kapan di hubungi. Ini solusinya gimana ya Heiii... jangan cuma nyuruh rakyat Vaksin berkali-kali tapi CS beserta Tim Diem seperti orang Bisu 😒😠"
sikoleris,cek dm min
rintisayu_27,Gak bermanfaat babarblassssss!!!!!!!
hendricusharisuryono,Apilkasi ga bisa dibuka
manguntapaaa,Ga bisa vaksin dosis 2 dan 3 akun saya gak bisa dibukak
asroybh,SERTIFIKAT VAKSIN SAYA BELUM MUNCUL MUNCUL WOYYYYYYYYY
itswull.9,Akun yg tertaut nya ga bisa dibuka pas dicek bukan data riawayat saya 🤧
zeni2056,Sudah tambah belum ada sertifikat balita
reinaldi.andreas_smj,"adminnnn yang baik.  Tolong Dm ssaya di check, ya Udh capek banget nih  ngusahin biar data Saya di betulin, Tanggal Lahir Saya Aturan 03 April 2002 ✔️ Malah salah di tulis tanggal lahir saya di sertifikat Vaksin 1,2Booster pertama , Booster Kedua hampir salah semua tanggal Lahir saya.  dk vaksin  Booster kedua Salah tempat Penerima Vaksin ."
dedy_tak_sempat_kurus,Sertivikat boster 1 saya tidak muncul di aplikasi ... Saya taunya waktu vaksin boster ke 2 kmarin
syerlini,Kacauuuuu
skykuni,"Min tolong keluarin tiket vaksin 2 saya dong, plis 🙏"
username,komentar
masegii20,Kerja dipending gegara sertifikat vaksin ke 2 ga muncul wkwk susah banget nelfon customer servicenya. Bukannya SEHAT malah nambah penyakit kalo begini
aderahayu277,Minnn ini gimana saya gk bisa login trus …sedangkan persyartan masuk ke acara barcode di aplikasi ini..gmna sih min
danangpradhityan,"Tolong aplikasi satu sehat di tutup saja, kembalikan aplikasi peduli lindungi"
bayuunur,Ini gimana ga keluar sertifikat vaksin ke dua saya
euodiayk,Rekam medis dibawa pasien?
rinzler0371,"Gk bisa unduh bukti vaksinasi 😢, padahal buat mudik naik kereta nanti"
aaariq_,"Selamat malam minSaya sudah umur 18 tahun, tapi tiket vaksin ke-3 saya tidak ada, gimanaaa dong, mau vaksin kan percuma tidak ke ntry, sama mau perjalanan menggunakan kai jadinya ga bisaaa, gimana donggTolong solusinya, terimakasih"
rezazereza,Amatir
frizkantniaptr,Ini kayanya cs nya udah ga berfungsi deh masa keluhan masyarakat segini banyak ga dikasih solusi?
indraprastailham48,"Hallo, nomer saya tidak bisa login padahal sudah verifikasi. Mohon bantuannya, ini sangat penting"
yapdefu,"Data sertifikat vaksin salah dan tidak sesuai, tapi dibilang solved. ditunggu tunggu tidak ada jawaban. apakah ada yang lihat dari admin satusehat? soalnya post terbaru sudah di tutup comment"
bayuunur,Dihubungi susah banget customer care nya
lae_rafli,"Min mau nanya saya udah vaksin booster tanggal 2 Maret tapi sampai sekarang serifikatnya belum muncul diaplikasi, saya tanya ke penyelenggara katanya masih error, gimana ni ya min"
fararollin,Tolong solusinya.. Kenapa sertifikat vaksin saya dri yg pertama smpe boster kedua tidak bisa diunduh di aplikasi satu sehat
devyanara,"Sudah booster dari tgl 2 maret sampai sekarang sertivikat tidak muncul² pertama kali tanya ke pemberi vaksin katanya sistem gak bisa di akses lagi maintenance jadi gak bisa imput data sekarang di tanya malah gak balas lagi, DM dan WA ke @satusehat_id  untuk info lebih lanjut tidak pernah di balas 😢😢 percuma aplikasi di update terus"
only_nayr,"Data vaksin salah , data tidak bisa di perbaiki , data tertaut hilang... Kalo masih broken aplikasinya jangan di luncurkan .. kesan nya maksa banget mau raup cuan ..."
imra_att,"Gk jelas ini , Buat Aturan harus Vaksin, tpi giliran sdh Vaksin sertifikat gk muncul2, di hub i Call Center ada 10x gk tembus, di wa jg gk bagus, kirim email jg gk bagus, kasian Loh yg mau bekerja malah Tertunda hanya Krn sertifikat Vaksin tdk muncul entqh harus bagaimana biar dkirimkan sertifikat"
nindayuliaa,"Min data tanggal lahir saya salah setelah update ke satusehat, saya sudah wa, telfon, dan DM blm ada respon.. tolong solusinya min"
remahannbiskuittt,Halo kak @satusehat_id data vaksinasi saya salah dibagian tanggal lahir bagaimana ya? Saya sedang sangat memerlukan sertifikat vaksin yang valid. Terimakasih banyak 🙏🏻
megyk_,"Mohon segera di perbaiki antara server pcare dan satu sehat nya, banyak tiket vaksin belum pada keluar dan riwayat vaksinasi tidak sesuai antara server"
belakaar,"Alhamdulillah udah bisa lagi, walaupun di email ga dibales tapi tetap diperbaiki. semoga yang lain juga segera lancar aplikasinya. thank you @satusehat_id"
nanjacholy,"Nomor tiket vaksin blm juga kluar,, aplikasi ngak benar nih rusak"
bayuunur,"Gaada solusi, ga ditanggepin"
nurekosuhardana,"Hallo kak @satusehat_id kenapa status vaksin saya malah berubah jadi merah dengan keterangan belum vaksin ya, mau cek sertifikat dan tiket vaksin juga tidak bisa ada keterangan halaman sedang perbaikan. Udah  10 tahun belum mudik ke kampung halaman nih kak. Dan udah terlanjur pesan tiket juga."
yonferizal,"Saya mau bertanya di kemenkes RI Apa S2 greatnya 5 apa dak salah ya? Aturannyakan ada udah pencantuman gelar S2 Di polkesta  jadi great 5 itu aturannya ada gak di kemenjes RI, tolong di tindak lanjuti.  Makasih atas kerjasamanya"
frizkantniaptr,"Min, tolong respon dm saya aduh bener ya super lelet banget deh. Booster ke 2 saya belum diterbitkan sedangkan udah masuk dead line buat kerjaan gimana deh ini!"
awanawan965,Saya itu engga bisa masuk .mba bacaanya tidak ada koneksi .padahal paket saya banyak
akun_keduaa.82,"Min tolong baca dm saya... saya Sudh vaksin dosis 4/boster 2, tpi sertifikatnya di apk satu sehat belum muncul , sudah bilang ke faskes tpi disuruh nunggu update dari apk tsb😢"
zhemontox,"MAU ADA ADUAN KE WA TAPI GAADA RESPON CUMA DIKASIH PILIHAN PILIHAN DOANG, GA DIKASIH JALAN KELUAR"
febynggrini,Saya suka gabu.. 👏
reinaldi.andreas_smj,tolong baca dm instagram saya balas chattan saya admin saya butuh mendesak ini sertfikat vaksin
calput21,"Kagak bisa balik, ini gimana si bener2 gaada solusinya sama sekali, apa harus bayar dulu biar ada solusinya?"
zhemontox,GIMANA INI UPDATE APLIKASI MALAH SERTIFIKAT SAYA JADI NGACO NAMA DAN TANGGAL LAHIRNYA
aliviakeym,tolong koperatif sedikit
mustikaaisman,"saya ada kendala untuk login di aplikasi satu sehat . sebelumnya saya sudah punya aplikasi peduli lindungi , tapi saat diperbarui , berubah menjadi aplikasi satu sehat .saya disuruh login ulang , tapi email & no hape saya tidak terdaftar .sementara , disaat saya membuat akun baru , data diri saya ( NIK KTP ) sudah terdaftar .jadi saya tidak bisa masuk ke akun saya di satu sehat . bagaimana solusinya kak ?"
wkwkwk_id0,"Mau heran tapi ini di Indonesia, Giliran ada keluhan dari masyarakat untuk layanan sangat amat buruk 👏"
aizhatllmnzh,"Heh! Yg bener aja loo sertifikat gue ilang. 2 hari lagi gua mau ujian yaa, CALL CENTER PERCUMA! Gabisa di tlvn! Di wa juga gajelas!"
alddeeee_,"Nomor hp saya hilang dan sudah mati , saya tidak bisa login akun satu sehat padahal sebelumnya sudah saya kaitkan dengan aku gmail , saya perlu dan sangat butuh login satu sehat untuk keberangkatan saya keluar negri mengubah vaksin internasional"
uraa_mr05,Min tolong dong respon DM saya masa yang respon bot
calput21,Kalah sama bank BCA yang satset
_mputt06_,"APLIKASI APAAN INI, SEMENJAK DIGANTI SAMPE SEKARANG CUMA BISA BUKA SEKALI DOANG, SELEBIHNYA SETIAP MAU BUKA APLIKASINYA SELALU NGGAK BISAAAA.. TOLONG DIPERBAIKI, KALI ENGGAK BALIKIN LAGI JADI PEDULI LINDUNGI!!!!😂😂"
calput21,Gajelas suruh diminta data udah dikasih gak dibales lagi sampe sekarang
theo_kharisman,Sudah bisa log in setelah telfon ke kemenkes minta di ubah nomor yang baru karena nomor lama sudah tidak aktif.
calput21,"Ini kerjanya apa sih? Udah minta data, dikasih data gak dibales lagi. Bener2 gaada solusinya sama sekali! Ngapain harus ganti nama kalo ujung2nya masyarakat yang repot."
marfuah_arroyyan,Cek DM min
manafe24,Bikin login tuh pake nik kaya di website ini aplikasi masih eror tapi website nya malah di shutdown goblok gak sih sorry agak kasar tapi kalian udh keterlaluan saya mau lamar kerja malah terhambat gara gara kalian sok pintar 👍
username,komentar
ninitajah,"Asslamualaiku, Ijin curhan ya min. Saya sdh lapor utk perubahan sertifikat vaksin saya tidak sesuai ktp. Tp responnya lama. Udh wa srh tunggu, tp ngak dihubung2in. Udh email, dgn format yg diminta, tp ngak dihubungi jg. Malah di email bilang tiket anda sudah slesai, pdhl blm ada perubahan. Aneh aplikasi barunya. Pdhal dari apps pedulindungi sertivfkat saya sudah sesuai ktp. Huft aneh, ngak solutif. Astgahfirullah, maaf panjang saya curhat ya min. Makasi.."
andreasharyadi_tjen,"Ini gimana ya? Tiba2 ada email masuk dengan judul ""solved"", sekali cek di aplikasi masih sama aja permasalahannya. Belum selesai tapi udah dibilang selesai. Ga niat bantuin apa gimana? Udah lapor ke dinkes setempat, jawabannya juga sama. Semua tergantung pusat. Dari dinkes setempat juga gak bisa bantu. Kalau emang belum siap buat migrasi aplikasi baru, jangan dieksekusi dulu. Kesannya membuat masalah tanpa solusi. Uda ditelepon ke call center, uda diemail, uda diwhatsapp yang jawab BOT semua. Seakan2 gak baca kolom komentar. Coba disertai dengan solusi, jangan cuma menghadirkan masalah tanpa solusi. Mau tunggu viral baru gerak. Manusia apa kuda? Nunggu dipecut baru jalan. Ga jelas."
sayyyuu_,APLIKASINYA SITU YG ERROR TP MALAH KITA YG RIBET CIHUYY🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
delipp_,"Min, ini di aplikasi satu sehat kan bisa check in bersama itu berlaku dimana aja kan? Termasuk bandara kan? Soalnya takut hp ibu saya low gitu"
octaviana.yaaa,Aplikasinya ga bisa dibuka ya admin zayank
mayang.r.a,"Hallo min. Gmn ini di dm tiap hari gk di respon,di wa tiap hari jwb nya cs tidak bisa dihubungi terus. Saya butuh sertifikat booster utk keperluan ujian pagi ini. Udh berminggu2 nunggu smpe hari H gk ada solusi. Kacau nih app nya"
wa_onehariyanto,Tanggal lahir salah gimana prosedur merubahnya????
ratnawatiyayuk,Yg masih memerlukan sertifikat vaksin kayanya indo aja deh .kalo di saudi dah ditnya lg bahkan disana sudah pd lepas masker ..semoga semua selalu dlm keadaan sehat2 dan selalu dlm lindungan Allah SWT
bubunyazaynsyifa,Gimana caranyaaaaaa? Aplikasi aja gabisa dibuka .. Astagfirullah
linggommarpaung,"Gimana sih min? Ditanggepin juga nggak. Tapi bilangnya DM. Pas diDM gk ditanggepin. Ingat ya min. Kalau mempersulit orang lain itu pake perasaan juga. Saya usahakan mengerti, tapi kasih pengertian juga lah ke masyarakat. Paling nggak yang datanya salah ini loh.Saya yakin admin gk tau-menau soal aplikasi gk bisa dibuka. Tapi kalo masalah data admin bisa atasi, dan admin yang bilang.Ini data saya kapan dibenerin? Ini bukan kesalahan saya.Katanya suruh DM, tapi gak dibales-bales. Capek banget diginiin. Hadeeeh."
bonarhengki,Min..sertifikat vaksin saya kok atas nama org lain?
braga_ashari,Min sudah vaksin booster tapi di aplikasi belum muncul sertifikat. Ngurusnya kemana?? Sudah berulang kali mencoba WA tapi tidak pernah berhasil.
dimasalit27,ini gimana mau buat kalo loh in aja gak bs .. heran kagak di perbaiki dah bug nya... kasian woyy org2 yg bener2 butuh .. hadehhh
aciied.istia,Baru di upgrade.. Ternyata sertifikat nya ga muncul.... Padahal udh vaksin 4x .. Sertifikat nya mau d print buat keperluan kantor . Ini gimana ya??? @satusehat_id
ahmad_andrea.925,"Masih mendingan aplikasi peduli lindungi dulu soal nya bisa masukin data untuk klaim sertifikat vaksin la yg sekarang gak ada , minta solusi nya @satusehat_id"
arindafebriany02,"@satusehat_id mohon banget ya kk DM aku direspon,aku DM dari kmrin... Untuk Cs skrng slow respon bgt... Via wa susah bgt via tlp juga sama.. kasian kena kendalanya... Terima kasih kk"
budyblomqvist,Nama yang di sertifikat aja salah..yang tadinya di Peduli Lindungi sudah benar..malah jadi salah...😢😢😢😢...sudah di email..gak di benerin aja...
sy.a01.21,"Perubahan nomor lama jd nomor baru aj ribet. Email prtama suruh ngisi nama, NIK , no hp lama, no hp baru. Nngg 2hr dong baru di bls . Gitu pun formatny beda lg 😂 suruh isi nama, nik, no lama, no baru di tambah EMAIL yg aktif. Kenapa g sekalian pas pertama disuruh isi format sprt itu biar g bolak balik kirim email. 🤡"
pupu_astia,"Orang IT NYA harus belajar yg bikin slot,klw slot maintenace paling sampai 3 jam ini udah mau 2 minggu😂😂😂😂"
retnop39,"Kemana kami harus menghubungi untuk kendala vaksinasi, krn 119 sdh tidak bisa, menggunakan wa terlalu lama"
ahyaani2_,"Sebelum pembaruan aplikasinya masih bagus, dan sekarang pembaruan aplikasinya kok jelek pembaruan aplikasinya dan gak bisa cetak vaksin 1 , vaksin 2 dan vaksin 3 kenapa bisa terjadi min??? 😢 @satusehat_id"
fadli_kua,Pesmisi saya cob whatsap ke kemenkes kok ada gk bisa tersambunh yah bpk/ibuk karena data saya tidak muncul tiket ketiga
eslahborneo,"Ini kayanya admin nya pada tidur Semua ini,, gimana sih Di hubungi Di WA ga bisa Di email juga ga bisa,, Di tlpn malah pulsa saya yang kekuras gimana sih,,, klo bikin aplikasi yang bener dong kasian Rakyat kan klo kaya gini... Ngapain coba Di rubah Di jadi kan satu sehat kalo pelayanan nya ga bagus banget"
budi.triswanto,"Aplikasi @satusehat_id kacau balau, kalau ada masalah suruh DM, udah 2 hari digantung. eMail & WA pun ga jauh beda. Mending balikin aja ke aplikasi yg lama. @kemenkes_ri @dukcapilkemendagri"
dwisuliastari,"Sejak aplikasi berubah menjadi SatuSehat hingga hari ini saya belum bisa Login sama sekali. Setiap minta kode verifikasi, bisa 30 menit sendiri nunggu kode verifikasinya. Saat dimasukkan kodenya, SELALU ""Masukkan kode verifikasinya yang tepat"". Sebenarnya yang tidak tepat itu usernya atau aplikasinya? Sedangkan Saya sudah butuh urgent untuk umroh dalam waktu dekat. Sudah Saya WA SELALU "" Maaf, Customer Service kami belum bisa melayani anda saat ini"". Kalau dikirimin email, eh belum dijawab dan diberikan solusi, malah dijawab ""Tiket Anda telah selesai"". Menghubungi nomor yg tertera juga gak pernah nyambung 🤦‍♀️Please deh.. @kemenkes_ri"
skykuni,"Apaan tiket vaksin 2 saya aja belum keluar, dr kemarin2 di dm ga di bales yg bales bot trus, kekmn kalo mau umroh bs gagal beribadah  ni gr2 aplikasi satu sehat, giwit"
mta1599,"Yang mewajibkan vaksin covid kan pemerintah Indonesia, bukan pemerintah Saudi"
eslahborneo,Untuk pengubahan data gmna ya  soalnya mau menyesuaikan data di passport
ayah.feli_,Maaf min ... Mau tanya sertifikat boster ke dua kok ga muncul di aplikasi satusehat ya ... Padahal waktu di aplikasi peduli lindungi muncul ???
reinaldi.andreas_smj,"Baca dm saya admin saya udh pusing mikirin tanggal Lahir saya salah aturan Tanggal Lahir saya 03 Aprill 2002 Ini benar .... eh malah salah di tulis tanggal lahir saya sertifikat Vaksin 1,2Booster 1 , dan booster kedua salah semua tanggal Lahir saya 😢😢😢. gak ada respon sama sekali email dm instagram saya😢😢😢"
reinaldi.andreas_smj,saya salah data tanggal Lahir  dan pemberian tempat vaksin  hubungin wa hanya nunggu Untuk Jawaban . maaf custemer Service kami blm bisa melayanin anda saat ini .... . udh saya telepon biasa gak ada respon sama sekali langsung habis pulsa saya 😢😢😢😢
kartinayayak,Alhamdulillah vaksin covid-19 aku sudah lengkap🙏🙏🙏👍
zeni2056,Sertifikat anak kecil belum keluar
mfrt372,Min klau buat ganti nomor hp nya bs ngg?
irawaniwan178,Sy sdh DM tunggu antrian ktnya entah sampai kapan keburu lebaran selesai x yaa
alddeeee_,"Nomor hp saya hilang dan sudah mati , saya tidak bisa login akun satu sehat padahal sebelumnya sudah saya kaitkan dengan aku gmail , saya perlu dan sangat butuh login satu sehat untuk keberangkatan saya keluar negri mengubah vaksin internasional"
topp_uppp,Admin minta tolong cek dm🙏🙏🙏
hafidz_irfansyah,"Sertifikat vaksin 3 saya belom muncul di aplikasi. Hub email f ada solusi. DM IG slow respon. Hubungi WA hanya nunggu untuk jawaban ""Maaf, customer service kami belum bisa melayani anda saat ini"""
username,komentar
iosaver,Hape android kentang bisa instal apk nya gk min?  Kasihan org menengah kebawah yg pake hape jadul. Tp rajin vaksin.
urbbgurll_,STOP UPDATE UPDATE MENDING BANTUIN PENGGUNA SATU SEHAT YANG KESULITAN !!! BALIK AJA KE PEDULI LINDUNGI. CHAT SANA SINI YANG BALES BOT! BUKANNYA MEMPERBAIKI MALAH MAKIN GAKJELASS APLIKASI PENTING KOK HANCUR GINI GAADA CUSTOMER SERVICE YG BENER😭
rico_andyanto,Sertifikat vaksin boster kedua saya belum keluar2 kenapa ya? Udah 1bulan lebih padahal
reinaldi.andreas_smj,"Sertifikat Vaksin Booster Kedua Saya Salah Tempat pemberian vaksin Saya udh chat whatsapp malaj gak bisa , Saya chat email gak di respon sama sekali😢😢"
ferdi_effendi,"Sertifikan vaksin booster kedua saya masih belum muncul loh, udah 1 bulan lebih. Gini amat aplikasinya!"
chairina_alyaa_chairine_111,"Kok sering bgt update, min.."
poetramilan21,"Percuma ada kaya gini, gak bisa ngasih solusi. Yang bermasalah berbagai macam, tapi respon nya O besar #kembalikanPedulilindungi"
aylamanza,Tanggal lahir salah
hendrays,Apa sekarang harus input no paspor ya Min? Lha saya gak punya nih Min.
mumetndase_cuk,Tiket vaksinasi booster saya kok belum keluar ya?
panas_ter1k,Update mulu... tndanya aplikasi msh ga jelas..😂
fascii,"saya sih login bisa tapi data booster & sertifikat vaksin booster ga muncul, udh email + wa ke helpdesk tp no respon at all, harus gimana jdnya @satusehat_id ??"
_einrernie_,"Kalo cara unduh sertifikat gmn kok gagal trs?? Cb sy pengen tau penjelasannya... tp jgn suruh install/reinstall lagi lo ya! Sy sdh melakukan semuuuuuuuuaaaa cara yg diinfokan.. tapiiiiiii hslnya teteeeeepppp... ""Sertifikat Gagal Diproses"" @satusehat_id 🙄🙄 #PeduliLindungiLebihBaik"
dwiwijiati,"Tolong donk @satusehat_id kami sebagai petugas vaksinasi tiap kali entry vaksin sertifikat tdk langsung muncul, ada yg sdh satu tahun sertifikat tak muncul², kami mau entri jd tdk bisa, sedangkan yg divaksin dikiranya kita yg menerbitkan sertifikat, sdh berkirim email, sdh lewat WA blm jd ktm sm operator koq sdh bilang terimakasih"
ns.argan,"@satusehat_id di profil Nomor Paspor ditandai bintang (harus diisi), tidak semua WNI punya paspor"
mrw.jain,Kembalikan peduli lindungi 🙌🙌
yanabstar,"Email help des cuma respon Bot , nomor wa cuma respon bot 🤔🤔🤔 lebih baik pedulilindungi responsif"
yudigreen,Kembalikan #pedulilindungi
fhmzh_,"Sama aja gak berubah, sertifikat booster 1 belum muncul juga, status tetep warna kuning"
itsmefrsya,ALHAMDULILLAH SUDAH MUNCUL SERTIFIKATNYA MAKASIH BANYAK MIN
bonarhengki,Kaga ada respon...haduhhh. sertifikat vaksin internasional salah nama. Ada2 aja
hrs_daruma,"VAKSIN BOOSTER KAMI tidak keluar Pak!!!. Udah email, wa ,dsb percuma!!!!. @titi10_tm @dsugiartop"
taufiqarifn,"Nomor ktp salah, ga bisa dirubah.. pdhal aplikasi yg lama udah benar"
4dhy,"Setelah install, untuk buka aplikasinya gak mau. Blank terus2an. Jadi tak uninstall aja..."
haniezh,Kaga bisaaa cukkk... W pas vaksin kaga masukin email... Gue masuk pake nomer hp gue yg muncul malah nama emak gue.. Krn emak gue g ad no hp jdi pake nomer gue.. Di ganti info profil malah TERJADI KESALAHAM COBA LAGI NANTI.. anjir.. Gue buat in out pabrik pake scan.. Di kira emak gue tar yg krj.. Pea bgt ni aplikasi .. Udahlah .. Balik lg aj ke Pedulilindungi.. Dulu mah lebih gampang .. Di aplikasi gue ge ad 2 nama emak sma gue jdi tinggal klik aj data yg mau d perluin yg mana.. Bikin susah orang.. Jangan2 ni aplikasi belom rampung x yakk.. Trs kendala dana.. Jdinya yg bikin aplikasi nya jd males hahaha😂 tlp g bs .. Chat g d bls yah uh buat apa suruh upgrade.. Biar cuan x yak.. Najis bangaat gomah
4dhy,"Saya saking malesnya bolak balik error, jadi tak uninstall sekalian."
sihsetiawan86,Saya tidak bisa registrasi min
ben.kumin,Saya udah vaksin ke 4 tapi datanya ga masuk ke satusehat gimana ya?
nurullhuda18,"SUDAH UPDATE YG TERBARU LO MIMIIIN, SERTIFIKAT BOOSTER 3 BELUM KELUAR NIII. LIAT DM NAPA😢"
sayaeir_,Usah ngikutin intruksi tapi email saya tidak terdaftar admin. Jadi bagaimana? @satusehat_id  cara daftar emailnya bagaimana? @satusehat_id  @satusehat_id
urbbgurll_,"komen ig isinya orang protes smua tapi gaada tanggapan, satu sehat ga mampu gaji karyawan kah? atau perlu volunteer buat bantuin sukarela? 😌"
